# Mailing List Archive Links
# Format: list_id|archive_url
# Example: wp-hackers|https://lists.automattic.com/pipermail/wp-hackers/

# WordPress Lists
wp-xmlrpc|https://lists.automattic.com/pipermail/wp-xmlrpc/
wp-ui|https://lists.automattic.com/pipermail/wp-ui/
wp-install|https://lists.automattic.com/pipermail/wp-install/
wp-edu|https://lists.automattic.com/pipermail/wp-edu/
wp-docs|https://lists.automattic.com/pipermail/wp-docs/
wp-announce|https://lists.automattic.com/pipermail/wp-announce/
wp-accessibility|https://lists.automattic.com/pipermail/wp-accessibility/
spam-stopper|https://lists.automattic.com/pipermail/spam-stopper/
hyperdb|https://lists.automattic.com/pipermail/hyperdb/
gravatar-polyglots|https://lists.automattic.com/pipermail/gravatar-polygots/
glotpress|https://lists.automattic.com/pipermail/glotpress/
buddypress-dev|https://lists.automattic.com/pipermail/buddypress-dev/
wp-hackers|https://lists.automattic.com/pipermail/wp-hackers/

# Add your mailing list links below:
# list_id|archive_url 
